House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
16,April Street,Nicholas,Evans,46,Husband,Married,Male,Rural practice surveyor,None,Catholic
16,April Street,Jacob,Evans,9,Son,NA,Male,Student,None,NA
16,April Street,Bernard,Evans,3,Son,NA,Male,Child,None,NA
17,April Street,Geraldine,Whitehead,75,Head,Widowed,Female,"Retired Surveyor, building",None,Christian
17,April Street,Bruce,Whitehead,40,Son,Divorced,Male,"Designer, multimedia",None,Christian
17,April Street,Sara,Whitehead,34,Daughter,Single,Female,Chartered management accountant,None,Christian
17,April Street,Judith,Whitehead,30,Daughter,Single,Female,"Geneticist, molecular",None,Christian
18,April Street,Teresa,Brown,74,Head,Married,Female,Retired Speech and language therapist,None,Christian
18,April Street,Jonathan,Brown,74,Husband,Married,Male,"Retired Production designer, theatre/television/film",None,Christian
18,April Street,Nigel,Brown,37,Son,Single,Male,Unemployed,None,Christian
18,April Street,Amanda,Brown,37,Daughter,Single,Female,Site engineer,None,Christian
18,April Street,Shirley,Brown,36,Daughter,Single,Female,"Sound technician, broadcasting/film/video",None,Christian
19,April Street,Gavin,Davies,75,Head,Married,Male,Retired Editorial assistant,None,Catholic
19,April Street,Ann,Davies,75,Wife,Married,Female,"Retired Research officer, government",None,None
20,April Street,Irene,Ward,30,Head,Single,Female,PhD Student,None,Catholic
20,April Street,Ruth,Farrell,27,None,Single,Female,PhD Student,None,None
20,April Street,Andrea,Cooper,20,None,Single,Female,University Student,None,None
20,April Street,Michael,Brookes,21,None,Single,Male,University Student,None,Catholic
20,April Street,Georgina,Bailey,18,None,Single,Female,University Student,None,Christian
21,April Street,Michelle,James,54,Head,Married,Female,Database administrator,None,Christian
21,April Street,Dean,James,56,Husband,Married,Male,Metallurgist,None,None
21,April Street,Conor,James,19,Son,Divorced,Male,University Student,None,None
21,April Street,Ryan,James,15,Son,NA,Male,Student,None,NA
22,April Street,Jean,Robinson,48,Head,Married,Female,Information systems manager,None,Sikh
22,April Street,Michael,Robinson-Nicholson,50,Husband,Married,Male,"Designer, jewellery",None,Sikh
22,April Street,Teresa,Robinson-Nicholson,31,Adopted Daughter,Single,Female,IT trainer,None,None
22,April Street,Frederick,Robinson-Nicholson,27,Son,Divorced,Male,"Engineer, building services",None,Sikh
22,April Street,Oliver,Robinson-Nicholson,21,Son,Divorced,Male,University Student,None,Sikh
22,April Street,Marian,Robinson-Nicholson,10,Adopted Daughter,NA,Female,Student,None,NA
23,April Street,Kate,Ellis,28,Head,Single,Female,"Scientist, research (life sciences)",None,None
23,April Street,Mathew,Carter,32,Partner,Single,Male,Community arts worker,None,None
23,April Street,Arthur,Ellis,0,Son,NA,Male,Child,None,NA
23,April Street,Peter,Bird,46,Lodger,Divorced,Male,Town planner,None,Catholic
24,April Street,Charles,Williams,25,Head,Divorced,Male,Youth worker,None,None
24,April Street,Charlie,Whittaker,34,Cousin,Divorced,Male,"Engineer, materials",None,None
24,April Street,Nigel,Evans,36,Cousin,Divorced,Male,Tourism officer,None,None
24,April Street,Bryan,Evans,34,Cousin,Single,Male,Magazine features editor,None,None
25,April Street,Ruth,Harrison,53,Head,Married,Female,Games developer,None,Catholic
25,April Street,Anthony,Harrison,54,Husband,Married,Male,"Therapist, nutritional",None,Catholic
25,April Street,Angela,Harrison,18,Daughter,Single,Female,Student,None,Catholic
25,April Street,Frances,Harrison,10,Daughter,NA,Female,Student,None,NA
25,April Street,Harry,Harrison,9,Son,NA,Male,Student,None,NA
25,April Street,Paul,Harrison,5,Son,NA,Male,Student,None,NA
26,April Street,Martyn,Stephens,50,Head,Married,Male,Neurosurgeon,None,None
26,April Street,Karen,Stephens,48,Wife,Married,Female,Unemployed,None,None
26,April Street,Kayleigh,Bell,8,Granddaughter,NA,Female,Student,None,NA
26,April Street,Jason,Lee,6,Grandson,NA,Male,Student,None,NA
27,April Street,Hilary,Mason,56,Head,Married,Female,"Education officer, community",None,None
27,April Street,Stuart,Mason,60,Husband,Married,Male,Banker,None,None
27,April Street,Stephanie,Mason,33,Daughter,Single,Female,"Production designer, theatre/television/film",None,None
27,April Street,Lewis,Mason,30,Son,Divorced,Male,Exhibition designer,None,None
28,April Street,Kirsty,Mills,75,Head,Widowed,Female,"Retired Education officer, museum",None,Christian
28,April Street,Owen,Mills,45,Son,Single,Male,"Programmer, applications",None,None
28,April Street,Stewart,Mills,41,Son,Divorced,Male,Chemical engineer,Disabled,Christian
29,April Street,Cheryl,Bradley,46,Head,Married,Female,Unemployed,None,None
29,April Street,Louis,Bradley,49,Husband,Married,Male,Corporate treasurer,None,None
29,April Street,Natalie,Bradley,14,Daughter,NA,Female,Student,None,NA
29,April Street,Dale,Bradley,14,Son,NA,Male,Student,None,NA
30,April Street,Melissa,Jennings,61,Head,Married,Female,Child psychotherapist,None,None
30,April Street,Marc,Jennings,66,Husband,Married,Male,Petroleum engineer,None,None
30,April Street,Leah,Johnson,19,None,Married,Female,University Student,None,None
30,April Street,Benjamin,Johnson,19,None,Married,Male,University Student,None,None
31,April Street,Gareth,Harrison,18,Head,Married,Male,Student,None,NA
31,April Street,Hannah,Harrison,19,Wife,Married,Female,University Student,None,NA
32,April Street,Elliot,Richards,46,Head,Married,Male,"Engineer, electrical",None,Catholic
32,April Street,Marian,Richards,39,Wife,Married,Female,Data scientist,Unknown Infection,Catholic
33,April Street,Bernard,Coles,33,Head,Divorced,Male,"Investment banker, operational",None,Catholic
33,April Street,Elaine,Gibbs,59,Lodger,Single,Female,Curator,None,Methodist
33,April Street,Michelle,Mills,58,Lodger,Single,Female,Unemployed,None,Christian
33,April Street,Martin,Thornton,56,Sibling,Single,Male,"Education officer, environmental",None,None
34,April Street,Marie,Hughes,33,Head,Married,Female,Unemployed,Deaf,Christian
34,April Street,Damian,Hughes,35,Husband,Married,Male,"Psychologist, forensic",None,None
34,April Street,Ruth,Hughes,6,Daughter,NA,Female,Student,None,NA
34,April Street,Julia,Hughes,2,Daughter,NA,Female,Child,None,NA
34,April Street,Marc,Hughes,1,Son,NA,Male,Child,None,NA
34,April Street,Michael,Robinson,18,Lodger,Single,Male,Student,None,NA
34,April Street,Shane,Dyer,40,Lodger,Single,Male,"Administrator, sports",None,None
35,April Street,Howard,Webb,38,Head,Single,Male,Osteopath,None,Christian
35,April Street,Mark,Henderson,37,None,Single,Male,"Engineer, maintenance",None,None
36,April Street,Joanna,Pearce,38,Head,Married,Female,Educational psychologist,None,None
36,April Street,Douglas,Pearce,42,Husband,Married,Male,Unemployed,None,None
36,April Street,Zoe,Pearce,3,Daughter,NA,Female,Child,None,NA
36,April Street,Ben,Jackson,40,Lodger,Single,Male,Air cabin crew,None,Catholic
37,April Street,Phillip,Wood,57,Head,Single,Male,Production manager,None,Christian
37,April Street,Leigh,Cooper,8,Grandson,NA,Male,Student,None,NA
37,April Street,Donna,Bennett-Cooper,5,Granddaughter,NA,Female,Student,None,NA
38,April Street,Louise,Collins,59,Head,Single,Female,"Psychologist, educational",None,Christian
38,April Street,Philip,Booth,28,None,Single,Male,"Engineer, automotive",None,None
39,April Street,Eleanor,Hicks,63,Head,Single,Female,Television floor manager,None,Christian
39,April Street,Bruce,Hicks,12,Grandson,NA,Male,Student,None,NA
40,April Street,Jeffrey,Brown,45,Head,Single,Male,Chief of Staff,None,Methodist
40,April Street,Rhys,Brown,12,Step-Son,NA,Male,Student,None,NA
40,April Street,Wayne,Williams-Brown,9,Step-Son,NA,Male,Student,None,NA
40,April Street,Stanley,Williams-Brown,5,Step-Son,NA,Male,Student,None,NA
41,April Street,Alexandra,Archer,31,Head,Single,Female,Museum/gallery exhibitions officer,None,Methodist
41,April Street,Howard,Jackson,33,Partner,Single,Male,"Designer, graphic",None,Methodist
41,April Street,Clive,Davidson,35,Lodger,Divorced,Male,Marketing executive,None,Catholic
41,April Street,Lawrence,Spencer,34,Lodger,Single,Male,Commercial/residential surveyor,None,None
42,April Street,Denise,Wilson,52,Head,Married,Female,Unemployed,None,Methodist
42,April Street,Samuel,Wilson,53,Husband,Married,Male,"Teacher, primary school",None,Methodist
42,April Street,Linda,Wilson,22,Daughter,Divorced,Female,University Student,None,Methodist
42,April Street,Samantha,Law-Wilson,17,Daughter,NA,Female,Student,None,NA
43,April Street,Dale,Scott,44,Head,Married,Male,Chief of Staff,None,Catholic
43,April Street,Jasmine,Scott,43,Wife,Married,Female,Emergency planning/management officer,None,None
43,April Street,Janice,Scott,9,Daughter,NA,Female,Student,None,NA
43,April Street,Donna,Scott,7,Daughter,NA,Female,Student,None,NA
44,April Street,Jade,Harris,41,Head,Married,Female,Risk manager,None,Christian
44,April Street,Justin,Harris,43,Husband,Married,Male,"Psychologist, sport and exercise",None,None
44,April Street,Sally,Harris,7,Daughter,NA,Female,Student,None,NA
44,April Street,Jacob,Harris,7,Son,NA,Male,Student,None,NA
45,April Street,Nigel,Thomas,37,Head,Married,Male,"Administrator, charities/voluntary organisations",None,Methodist
45,April Street,Diana,Thomas,38,Wife,Married,Female,"Engineer, water",None,None
46,April Street,Joan,Miah,31,Head,Married,Female,Volunteer coordinator,None,None
46,April Street,Scott,Miah,31,Husband,Married,Male,Optometrist,None,None
47,April Street,Angela,Robinson,52,Head,Married,Female,Educational psychologist,None,Christian
47,April Street,William,Robinson,53,Husband,Married,Male,"Sound technician, broadcasting/film/video",None,None
47,April Street,Gary,Robinson,15,Son,NA,Male,Student,None,NA
47,April Street,Clive,Robinson,12,Son,NA,Male,Student,None,NA
48,April Street,Jade,Woodward,36,Head,Married,Female,Research scientist (maths),None,Catholic
48,April Street,Shane,Woodward,42,Husband,Married,Male,Unemployed,None,None
48,April Street,Abbie,Woodward,19,Daughter,Divorced,Female,University Student,None,Catholic
48,April Street,Joe,Woodward,15,Son,NA,Male,Student,None,NA
49,April Street,Debra,Watson,31,Head,Married,Female,"Librarian, academic",None,Sikh
49,April Street,Derek,Watson,28,Husband,Married,Male,Armed forces training and education officer,None,None
49,April Street,Simon,Watson,5,Son,NA,Male,Student,None,NA
49,April Street,Jamie,Watson,4,Son,NA,Male,Child,None,NA
49,April Street,Brandon,Watson,4,Son,NA,Male,Child,None,NA
49,April Street,Anne,Watson,0,Daughter,NA,Female,Child,None,NA
50,April Street,Phillip,Ali,37,Head,Single,Male,Building control surveyor,None,Christian
50,April Street,Kayleigh,John,35,Partner,Single,Female,Metallurgist,None,Christian
50,April Street,Melanie,Ali,1,Daughter,NA,Female,Child,None,NA
50,April Street,Karl,Stone,18,Lodger,Single,Male,Student,None,NA
51,April Street,Amanda,Goodwin,48,Head,Single,Female,Radio producer,None,Methodist
51,April Street,Carol,Goodwin,10,Daughter,NA,Female,Student,None,NA
51,April Street,Nicola,Goodwin,10,Daughter,NA,Female,Student,None,NA
51,April Street,Graham,Goodwin,10,Son,NA,Male,Student,None,NA
52,April Street,Craig,Goodwin,64,Head,Single,Male,"Programmer, multimedia",None,Christian
52,April Street,Trevor,Powell,35,None,Single,Male,Data processing manager,None,None
52,April Street,Dennis,Hartley,53,None,Divorced,Male,Research scientist (medical),None,Catholic
52,April Street,Shirley,Bird,41,None,Single,Female,Leisure centre manager,None,Christian
53,April Street,Barbara,Barnes,36,Head,Married,Female,"Producer, radio",None,Methodist
53,April Street,Joshua,Barnes,35,Husband,Married,Male,Commercial art gallery manager,None,Methodist
53,April Street,Adrian,Barnes,4,Son,NA,Male,Child,None,NA
53,April Street,Rosie,Barnes,2,Daughter,NA,Female,Child,None,NA
54,April Street,Jessica,Phillips,39,Head,Single,Female,"Engineer, electrical",None,None
54,April Street,Tom,Moore,47,Partner,Single,Male,Immigration officer,None,None
54,April Street,Callum,Phillips,11,Son,NA,Male,Student,None,NA
55,April Street,Hugh,Simpson,50,Head,Married,Male,Information officer,None,Catholic
55,April Street,Kate,Simpson,48,Wife,Married,Female,Sports development officer,None,Catholic
55,April Street,Robin,Simpson,6,Grandson,NA,Male,Student,None,NA
55,April Street,Katherine,Simpson,6,Granddaughter,NA,Female,Student,None,NA
56,April Street,Leon,Harrison,35,Head,Single,Male,Marine scientist,None,Catholic
56,April Street,Harriet,Gill,37,None,Single,Female,Equities trader,None,Catholic
56,April Street,Patricia,Cooper,22,None,Single,Female,University Student,None,None
56,April Street,Angela,Evans,62,None,Single,Female,Copy,None,Christian
56,April Street,Sam,Wells,39,None,Single,Male,Ergonomist,None,None
56,April Street,Karen,Ward,19,None,Single,Female,University Student,None,Christian
57,April Street,Susan,Turner,48,Head,Single,Female,Risk analyst,None,Catholic
57,April Street,Bethan,Turner,15,Daughter,NA,Female,Student,None,NA
57,April Street,Nicola,Turner,12,Daughter,NA,Female,Student,None,NA
57,April Street,Pamela,Turner,10,Daughter,NA,Female,Student,None,NA
57,April Street,Stuart,Turner,6,Son,NA,Male,Student,None,NA
57,April Street,Patrick,Turner,6,Son,NA,Male,Student,None,NA
58,April Street,Louise,Conway,47,Head,Married,Female,Passenger transport manager,None,Christian
58,April Street,Stanley,Conway,53,Husband,Married,Male,Archivist,None,Christian
58,April Street,Gemma,Webb-Conway,27,Daughter,Single,Female,Retail banker,None,None
58,April Street,Jennifer,Webb-Conway,27,Daughter,Single,Female,Geoscientist,None,Christian
58,April Street,Gail,Webb-Conway,17,Daughter,NA,Female,Student,None,NA
59,April Street,Natasha,Jackson,59,Head,Divorced,Female,Geochemist,None,Methodist
59,April Street,Katy,Jackson,19,Daughter,Single,Female,University Student,None,None
59,April Street,Bruce,Jackson,18,Son,Single,Male,Student,None,Methodist
60,April Street,Ben,Evans,31,Head,Single,Male,Geophysical data processor,None,None
60,April Street,Mary,Jennings,46,None,Single,Female,Higher education lecturer,None,Methodist
60,April Street,Sharon,Bradley,58,None,Single,Female,Retail buyer,None,Catholic
60,April Street,Michael,White,27,None,Single,Male,Camera operator,None,Jewish
1,Bruce Lock,Janet,Marshall,59,Head,Married,Female,Risk manager,None,Christian
1,Bruce Lock,Bruce,Marshall,64,Husband,Married,Male,Sports administrator,None,Christian
1,Bruce Lock,Natasha,Ahmed-Marshall,20,Daughter,Single,Female,University Student,None,None
1,Bruce Lock,Jasmine,Ahmed-Marshall,14,Daughter,NA,Female,Student,None,NA
2,Bruce Lock,Cheryl,Jennings,40,Head,Married,Female,Games developer,None,Christian
2,Bruce Lock,Marc,Jennings,40,Husband,Married,Male,"Scientist, water quality",None,None
3,Bruce Lock,Roy,Armstrong,60,Head,Married,Male,Retail banker,None,Christian
3,Bruce Lock,Shirley,Armstrong,58,Wife,Married,Female,"Psychologist, counselling",None,None
4,Bruce Lock,Elizabeth,Brennan,79,Head,Married,Female,Retired Theatre manager,None,Christian
4,Bruce Lock,Jamie,Brennan,78,Husband,Married,Male,"Retired Engineer, aeronautical",None,Christian
5,Bruce Lock,Diana,Palmer,61,Head,Divorced,Female,Environmental manager,None,Methodist
5,Bruce Lock,Jennifer,Palmer,3,Granddaughter,NA,Female,Child,None,NA
5,Bruce Lock,Jordan,Palmer,1,Grandson,NA,Male,Child,None,NA
5,Bruce Lock,Alice,Bates,31,Lodger,Single,Female,Academic librarian,None,None
6,Bruce Lock,Leonard,Harris,71,Head,Married,Male,"Retired Psychologist, occupational",None,None
6,Bruce Lock,Abbie,Harris,70,Wife,Married,Female,"Retired Education officer, community",None,None
7,Bruce Lock,Abdul,Hewitt,36,Head,Single,Male,Fisheries officer,None,None
8,Bruce Lock,Anne,Ward,45,Head,Single,Female,Hydrographic surveyor,None,Catholic
8,Bruce Lock,Victor,Begum,49,Partner,Single,Male,Radio broadcast assistant,None,Catholic
8,Bruce Lock,George,Ward,15,Son,NA,Male,Student,None,NA
8,Bruce Lock,Carly,Ward,11,Daughter,NA,Female,Student,None,NA
9,Bruce Lock,Carly,Young,34,Head,Single,Female,Unemployed,None,None
9,Bruce Lock,Ross,Young,6,Son,NA,Male,Student,None,NA
10,Bruce Lock,Barbara,Smith,42,Head,Divorced,Female,"Chemist, analytical",None,Catholic
10,Bruce Lock,Kelly,Smith,6,Daughter,NA,Female,Student,None,NA
10,Bruce Lock,Allan,Smith,5,Son,NA,Male,Student,None,NA
10,Bruce Lock,Claire,Smith,0,Daughter,NA,Female,Child,None,NA
1,Yellowditch Drive,Sian,Smith,55,Head,Single,Female,"Copywriter, advertising",None,Christian
1,Yellowditch Drive,Leslie,Smith,15,Son,NA,Male,Student,None,NA
1,Yellowditch Drive,Donna,Smith,10,Daughter,NA,Female,Student,None,NA
1,Yellowditch Drive,Liam,Smith,6,Son,NA,Male,Student,None,NA
2,Yellowditch Drive,Sean,Patel,25,Head,Married,Male,Dispensing optician,None,Christian
2,Yellowditch Drive,Lydia,Patel,24,Wife,Married,Female,"Development worker, community",None,None
3,Yellowditch Drive,Nicola,Hudson,40,Head,Divorced,Female,Unemployed,None,Catholic
3,Yellowditch Drive,Gary,Hudson,10,Son,NA,Male,Student,None,NA
3,Yellowditch Drive,Ruth,Hudson,9,Daughter,NA,Female,Student,None,NA
4,Yellowditch Drive,Marion,Pearson,37,Head,Single,Female,Agricultural engineer,None,None
5,Yellowditch Drive,Denis,Dunn,35,Head,Single,Male,Archivist,None,None
6,Yellowditch Drive,Claire,Turner,53,Head,Married,Female,Product manager,None,None
6,Yellowditch Drive,Terence,Turner,54,Husband,Married,Male,Senior tax professional/tax inspector,None,None
6,Yellowditch Drive,Darren,Turner,17,Son,NA,Male,Student,None,NA
7,Yellowditch Drive,Anna,Clarke,64,Head,Single,Female,Management consultant,None,Christian
7,Yellowditch Drive,Louis,Morton,45,None,Single,Male,Social researcher,None,None
7,Yellowditch Drive,Joshua,Collins,41,None,Single,Male,"Librarian, academic",None,None
7,Yellowditch Drive,Howard,Tomlinson,24,None,Single,Male,Theatre director,None,None
8,Yellowditch Drive,Jayne,Jackson,39,Head,Married,Female,Printmaker,None,Christian
8,Yellowditch Drive,Josh,Jackson,41,Husband,Married,Male,Automotive engineer,None,Christian
8,Yellowditch Drive,Stacey,Graham,35,Sibling,Single,Female,Unemployed,None,Methodist
8,Yellowditch Drive,Gareth,Robinson,57,Lodger,Single,Male,Stage manager,None,Christian
9,Yellowditch Drive,Kimberley,Saunders,33,Head,Married,Female,Financial planner,None,Christian
9,Yellowditch Drive,Dean,Saunders,37,Husband,Married,Male,Financial manager,None,Christian
9,Yellowditch Drive,Rosie,Saunders,8,Daughter,NA,Female,Student,None,NA
9,Yellowditch Drive,Frank,Saunders,4,Son,NA,Male,Child,None,NA
10,Yellowditch Drive,Sheila,Grant,63,Head,Married,Female,Volunteer coordinator,None,Catholic
10,Yellowditch Drive,Sean,Grant,68,Husband,Married,Male,"Retired Investment banker, operational",None,Catholic
10,Yellowditch Drive,Julian,Grant,24,Son,Single,Male,Trading standards officer,None,Catholic
10,Yellowditch Drive,Michelle,Grant,21,Daughter,Single,Female,University Student,None,None
10,Yellowditch Drive,Stanley,Grant,17,Son,NA,Male,Student,None,NA
11,Yellowditch Drive,Eric,Lane,24,Head,Single,Male,PhD Student,None,Christian
11,Yellowditch Drive,Justin,Green,18,None,Single,Male,University Student,None,None
11,Yellowditch Drive,Leonard,Turnbull,18,None,Single,Male,University Student,None,Catholic
12,Yellowditch Drive,Brenda,Watson,62,Head,Divorced,Female,"Designer, industrial/product",None,Catholic
13,Yellowditch Drive,Katie,Ross,39,Head,Married,Female,Transport planner,None,Christian
13,Yellowditch Drive,Brian,Ross,39,Husband,Married,Male,Information officer,None,Christian
13,Yellowditch Drive,Carolyn,Ross,7,Daughter,NA,Female,Student,None,NA
14,Yellowditch Drive,Julie,Robson,44,Head,Married,Female,Community development worker,None,Catholic
14,Yellowditch Drive,Edward,Robson,44,Husband,Married,Male,"Scientist, research (medical)",None,None
14,Yellowditch Drive,Bruce,Robson,7,Son,NA,Male,Student,None,NA
14,Yellowditch Drive,Pauline,Robson,5,Daughter,NA,Female,Student,None,NA
15,Yellowditch Drive,Katy,Cook,83,Head,Divorced,Female,Retired Training and development officer,None,Catholic
16,Yellowditch Drive,Conor,Thompson,28,Head,Single,Male,Prison officer,None,None
17,Yellowditch Drive,Barry,Hall,47,Head,Single,Male,Senior tax professional/tax inspector,None,None
18,Yellowditch Drive,Josephine,Green,48,Head,Married,Female,Museum/gallery conservator,None,Methodist
18,Yellowditch Drive,Tony,Green,54,Husband,Married,Male,"Administrator, charities/voluntary organisations",None,None
18,Yellowditch Drive,Kathleen,Green,18,Daughter,Divorced,Female,Student,None,None
18,Yellowditch Drive,Georgina,Green,14,Daughter,NA,Female,Student,None,NA
19,Yellowditch Drive,Amber,Mitchell,48,Head,Single,Female,Manufacturing engineer,None,Catholic
20,Yellowditch Drive,Julia,Armstrong,50,Head,Single,Female,Museum/gallery conservator,None,Christian
20,Yellowditch Drive,Rachael,Oliver,59,None,Single,Female,Theatre stage manager,None,Methodist
20,Yellowditch Drive,Matthew,Lee,48,None,Single,Male,Ambulance person,None,Catholic
20,Yellowditch Drive,Nigel,Martin,20,None,Single,Male,University Student,None,Catholic
21,Yellowditch Drive,Jill,Parry,37,Head,Single,Female,"Pharmacist, hospital",None,Christian
21,Yellowditch Drive,Billy,Parry,8,Son,NA,Male,Student,None,NA
21,Yellowditch Drive,Geoffrey,Parry,8,Son,NA,Male,Student,None,NA
21,Yellowditch Drive,Karl,Parry,3,Son,NA,Male,Child,None,NA
21,Yellowditch Drive,Carol,Fraser,30,Lodger,Single,Female,Education administrator,None,None
21,Yellowditch Drive,Patricia,Davies,59,Lodger,Single,Female,Film/video editor,None,Christian
22,Yellowditch Drive,Victoria,Smith,34,Head,Single,Female,Diagnostic radiographer,None,None
22,Yellowditch Drive,Ronald,Morrison,40,Partner,Single,Male,Architect,None,None
22,Yellowditch Drive,Megan,Smith,9,Daughter,NA,Female,Student,None,NA
22,Yellowditch Drive,Christopher,Smith,7,Son,NA,Male,Student,None,NA
23,Yellowditch Drive,Kate,Rogers-Smith,52,Head,Divorced,Female,Unemployed,None,Christian
23,Yellowditch Drive,Lisa,Rogers-Smith,19,Daughter,Single,Female,University Student,None,None
23,Yellowditch Drive,Victoria,Rogers-Smith,15,Daughter,NA,Female,Student,None,NA
23,Yellowditch Drive,Danielle,Rogers-Smith,9,Daughter,NA,Female,Student,None,NA
24,Yellowditch Drive,Annette,Evans,49,Head,Divorced,Female,Dispensing optician,None,None
24,Yellowditch Drive,Russell,Murphy,2,Grandson,NA,Male,Child,None,NA
24,Yellowditch Drive,Caroline,Miller,0,Granddaughter,NA,Female,Child,None,NA
25,Yellowditch Drive,Joe,Duncan,48,Head,Married,Male,Surgeon,None,Christian
25,Yellowditch Drive,Rachel,Duncan,50,Wife,Married,Female,Medical technical officer,None,Christian
25,Yellowditch Drive,Hugh,Duncan,26,Son,Divorced,Male,Data processing manager,None,Christian
25,Yellowditch Drive,Jane,Duncan,24,Daughter,Single,Female,Dealer,None,None
25,Yellowditch Drive,Edward,Duncan,2,Son,NA,Male,Child,None,NA
26,Yellowditch Drive,Pauline,Collins,63,Head,Divorced,Female,Unemployed,None,Catholic
26,Yellowditch Drive,Bryan,Collins,35,Son,Single,Male,Prison officer,None,Catholic
26,Yellowditch Drive,Hollie,Collins,32,Daughter,Single,Female,Academic librarian,None,None
26,Yellowditch Drive,Jay,Collins,28,Son,Single,Male,Futures trader,None,None
27,Yellowditch Drive,Nicole,Stevenson,33,Head,Divorced,Female,Special educational needs teacher,None,None
27,Yellowditch Drive,Jamie,Stevenson,8,Son,NA,Male,Student,None,NA
27,Yellowditch Drive,Gavin,Stevenson,4,Son,NA,Male,Child,None,NA
27,Yellowditch Drive,Zoe,Shah,57,Sibling,Single,Female,Merchant navy officer,None,Christian
27,Yellowditch Drive,Diana,Carter,34,Lodger,Single,Female,Amenity horticulturist,None,None
27,Yellowditch Drive,Yvonne,Nolan,47,Lodger,Single,Female,Intelligence analyst,None,Christian
27,Yellowditch Drive,Tina,Walker,55,Lodger,Widowed,Female,Diagnostic radiographer,None,None
28,Yellowditch Drive,Marie,Fox,48,Head,Divorced,Female,Unemployed,None,None
28,Yellowditch Drive,Julie,James-Fox,16,Daughter,NA,Female,Student,None,NA
28,Yellowditch Drive,Leonard,James-Fox,12,Son,NA,Male,Student,None,NA
28,Yellowditch Drive,Samuel,James-Fox,9,Son,NA,Male,Student,None,NA
28,Yellowditch Drive,Garry,James-Fox,5,Son,NA,Male,Student,None,NA
28,Yellowditch Drive,Rita,James-Fox,2,Daughter,NA,Female,Child,None,NA
29,Yellowditch Drive,Zoe,Kelly,44,Head,Married,Female,Market researcher,None,None
29,Yellowditch Drive,James,Kelly,43,Husband,Married,Male,Unemployed,None,None
29,Yellowditch Drive,Hazel,Kelly,4,Daughter,NA,Female,Child,None,NA
30,Yellowditch Drive,Bradley,Johnson,55,Head,Single,Male,Diplomatic Services operational officer,None,None
30,Yellowditch Drive,Alison,Taylor,26,None,Single,Female,Podiatrist,None,Muslim
30,Yellowditch Drive,Kenneth,Burgess,40,None,Single,Male,Company secretary,None,Catholic
30,Yellowditch Drive,Henry,Pickering,40,None,Single,Male,Adult guidance worker,None,None
30,Yellowditch Drive,Iain,Lewis,52,None,Single,Male,Electrical engineer,None,None
31,Yellowditch Drive,Debra,Bartlett,33,Head,Widowed,Female,Information officer,None,None
31,Yellowditch Drive,Jamie,Bartlett,1,Son,NA,Male,Child,None,NA
31,Yellowditch Drive,Vanessa,Welch,63,Lodger,Widowed,Female,Unemployed,None,Catholic
32,Yellowditch Drive,Danielle,Jordan,41,Head,Single,Female,Unemployed,None,None
32,Yellowditch Drive,Danielle,Parsons,54,None,Single,Female,Arts administrator,None,None
32,Yellowditch Drive,Neil,Dawson,39,None,Single,Male,"Administrator, Civil Service",None,Christian
32,Yellowditch Drive,Kathleen,Walton,24,None,Single,Female,Early years teacher,None,None
33,Yellowditch Drive,Francesca,Knight,35,Head,Married,Female,"Psychologist, prison and probation services",None,Christian
33,Yellowditch Drive,Nigel,Knight,37,Husband,Married,Male,Haematologist,None,None
33,Yellowditch Drive,Malcolm,Knight,12,Son,NA,Male,Student,None,NA
33,Yellowditch Drive,George,Knight,11,Son,NA,Male,Student,None,NA
33,Yellowditch Drive,Geraldine,Knight,11,Daughter,NA,Female,Student,None,NA
34,Yellowditch Drive,Natasha,Hancock,60,Head,Divorced,Female,"Production assistant, radio",None,None
35,Yellowditch Drive,Donald,Adams,43,Head,Single,Male,Land/geomatics surveyor,None,None
35,Yellowditch Drive,Ben,Bruce,21,None,Single,Male,"Production designer, theatre/television/film",None,Christian
35,Yellowditch Drive,Jodie,Moran,28,None,Single,Female,Product manager,None,None
35,Yellowditch Drive,Conor,Schofield,60,None,Single,Male,Geochemist,None,None
36,Yellowditch Drive,Angela,Stevenson,30,Head,Divorced,Female,Unemployed,None,None
36,Yellowditch Drive,Jade,Stevenson,1,Daughter,NA,Female,Child,Unknown Infection,NA
36,Yellowditch Drive,Beverley,Foster,48,Lodger,Divorced,Female,Leisure centre manager,None,None
36,Yellowditch Drive,Gregory,Harris,50,Lodger,Single,Male,Armed forces training and education officer,None,Catholic
36,Yellowditch Drive,Ian,Davies,54,Visitor,Single,Male,Medical technical officer,None,Catholic
37,Yellowditch Drive,Sean,Webb,44,Head,Single,Male,Audiological scientist,None,Methodist
37,Yellowditch Drive,Lindsey,Jackson,40,Partner,Single,Female,Race relations officer,None,Methodist
37,Yellowditch Drive,Leonard,Read-Webb,5,Son,NA,Male,Student,None,NA
37,Yellowditch Drive,Dean,Read-Webb,2,Son,NA,Male,Child,None,NA
37,Yellowditch Drive,Kerry,Read-Webb,2,Daughter,NA,Female,Child,None,NA
37,Yellowditch Drive,Fiona,Read-Webb,1,Daughter,NA,Female,Child,None,NA
38,Yellowditch Drive,Aaron,Reed,49,Head,Married,Male,"Lecturer, higher education",None,Christian
38,Yellowditch Drive,Louise,Reed,47,Wife,Married,Female,Ranger/warden,None,Christian
